https://1.tracker.eu.org:443/announce	1.tracker.eu.org
udp://tracker.dler.org:6969/announce	tracker.dler.org
http://tracker.dmguo.com:2710/announce	tracker.dmguo.com
udp://tracker.dyn.im:6969/announce	tracker.dyn.im
http://tracker.publictorrent.net:80/announce	tracker.publictorrent.net
udp://tracker.sbsub.com:2710/announce	tracker.sbsub.com
udp://tracker.sktorrent.net:6969	tracker.sktorrent.net
http://tracker.tfile.co:80/announce	tracker.tfile.co
http://tracker.yoshi210.com:6969/announce	tracker.yoshi210.com
http://tracker4.itzmx.com:2710/announce	tracker4.itzmx.com
http://www.loushao.net:8080/announce	www.loushao.net
http://128.199.70.66:5944/announce	128.199.70.66
udp://128.199.70.66:5944/announce	128.199.70.66
udp://qg.lorzl.gq:2710/announce	qg.lorzl.gq
http://torrentsmd.com:8080/announce	torrentsmd.com
http://www.wareztorrent.com:80/announce	www.wareztorrent.com
udp://tracker.openbittorrent.com:80/announce	tracker.openbittorrent.com
udp://tracker1.itzmx.com:8080/announce	tracker1.itzmx.com
http://tracker1.wasabii.com.tw:6969/announce	tracker1.wasabii.com.tw
http://104.28.16.69/announce	104.28.16.69
http://52.58.128.163:6969/announce	52.58.128.163
udp://52.58.128.163:6969/announce	52.58.128.163
udp://open.demonii.com:1337/announce	open.demonii.com
udp://tracker.filemail.com:6969/announce	tracker.filemail.com
http://tracker.filepit.to:6969/announce	tracker.filepit.to
udp://tracker.nextrp.ru:6969/announce	tracker.nextrp.ru
udp://tracker01.loveapp.com:6789/announce	tracker01.loveapp.com
http://tracker1.itzmx.com:8080/announce	tracker1.itzmx.com
http://178.33.73.26:2710/announce	178.33.73.26
udp://178.33.73.26:2710/announce	178.33.73.26
udp://contrata.putasysexo.com:53/announce	contrata.putasysexo.com
http://tracker.bz:80/announce	tracker.bz
https://104.28.17.69/announce	104.28.17.69
http://46.4.109.148:6969/announce	46.4.109.148
udp://46.4.109.148:6969/announce	46.4.109.148
http://51.254.244.161:6969/announce	51.254.244.161
udp://51.254.244.161:6969/announce	51.254.244.161
http://80.246.243.18:6969/announce	80.246.243.18
http://81.200.2.231/announce	81.200.2.231
http://sub4all.org:2710/announce	sub4all.org
udp://tracker.eddie4.nl:6969/announce	tracker.eddie4.nl
https://2.tracker.eu.org:443/announce	2.tracker.eu.org
udp://91.216.110.52:451/announce	91.216.110.52
udp://94.23.183.33:6969/announce	94.23.183.33
udp://open.demonii.com:1337	open.demonii.com
http://tracker.comicat.org:2015/announce	tracker.comicat.org
http://tracker.filetracker.pl:8089/announce	tracker.filetracker.pl
http://tracker.frozen-layer.net:6969/announce	tracker.frozen-layer.net
https://tracker.heaterdown.eu:443/announce	tracker.heaterdown.eu
udp://tracker.nyaa.uk:6969/announce	tracker.nyaa.uk
http://tracker.nyap2p.com:8080/announce	tracker.nyap2p.com
udp://tracker.opentrackr.org:1337/announce	tracker.opentrackr.org
udp://tracker.publicbt.com:80/announce	tracker.publicbt.com
http://173.254.204.71:1096/announce	173.254.204.71
udp://212.1.226.176:2710/announce	212.1.226.176
http://denis.stalker.upeer.me:6969/announce	denis.stalker.upeer.me
udp://denis.stalker.upeer.me:6969/announce	denis.stalker.upeer.me
http://gwp2-v19.rinet.ru:80/announce	gwp2-v19.rinet.ru
http://tr.kxmp.cf:80/announce	tr.kxmp.cf
udp://tracker.bittor.pw:1337/announce	tracker.bittor.pw
http://tracker.btcake.com/announce	tracker.btcake.com
https://tracker.opentracker.se:443/announce	tracker.opentracker.se
udp://tracker.piratepublic.com:1337/announce	tracker.piratepublic.com
http://tracker.port443.xyz:6969/announce	tracker.port443.xyz
udp://tracker.trackton.ga:7070/announce	tracker.trackton.ga
udp://tracker.yoshi210.com:6969/announce	tracker.yoshi210.com
udp://tracker.zum.bi:6969/announce	tracker.zum.bi
https://1337.abcvg.info:443/announce	1337.abcvg.info
udp://5.2.79.22:6969/announce	5.2.79.22
http://acg.rip:6699/announce	acg.rip
udp://retracker.lanta-net.ru:2710/announce	retracker.lanta-net.ru
http://retracker.spark-rostov.ru:80/announce	retracker.spark-rostov.ru
http://tracker.opentrackr.org:1337/announce	tracker.opentrackr.org
http://tracker.veryamt.com:80/announce	tracker.veryamt.com
http://tracker2.wasabii.com.tw:6969/announce	tracker2.wasabii.com.tw
http://tracker4.emce.org:12345/announce	tracker4.emce.org
http://agusiq-torrents.pl:6969/announce	agusiq-torrents.pl
http://bt2.54new.com:8080/announce	bt2.54new.com
http://carapax.net:6969/announce	carapax.net
http://ns349743.ip-91-121-106.eu:80/announce	ns349743.ip-91-121-106.eu
http://pubt.net:2710/announce	pubt.net
udp://retracker.akado-ural.ru:80/announce	retracker.akado-ural.ru
udp://retracker.nts.su:2710/announce	retracker.nts.su
http://tracker.baravik.org:6970/announce	tracker.baravik.org
http://tracker.bt4g.com:2095/announce	tracker.bt4g.com
http://tracker.grepler.com:6969/announce	tracker.grepler.com
udp://tracker.moeking.me:6969/announce	tracker.moeking.me
udp://tracker.msm8916.com:6969/announce	tracker.msm8916.com
udp://tracker.nibba.trade:1337/announce	tracker.nibba.trade
http://tracker.novg.net:6969/announce	tracker.novg.net
udp://tracker.teambelgium.net:6969/announce	tracker.teambelgium.net
http://tracker.torrentbay.to:6969/announce	tracker.torrentbay.to
http://tracker01.loveapp.com:6789/announce	tracker01.loveapp.com
http://104.28.1.30:8080/announce	104.28.1.30
http://185.83.215.123:6969/announce	185.83.215.123
udp://185.83.215.123:6969/announce	185.83.215.123
http://5.2.79.22:6969/announce	5.2.79.22
http://87.110.238.140:6969/announce	87.110.238.140
udp://amigacity.xyz:6969/announce	amigacity.xyz
http://atrack.pow7.com:80/announce	atrack.pow7.com
udp://bt2.archive.org:6969/announce	bt2.archive.org
udp://carapax.net:6969/announce	carapax.net
udp://exodus.desync.com:6969/announce	exodus.desync.com
http://exodus.desync.com:6969/announce	exodus.desync.com
http://explodie.org:6969/announce	explodie.org
udp://home.penza.com.ru:6969/announce	home.penza.com.ru
udp://jeremylee.sh:6969/announce	jeremylee.sh
http://mail2.zelenaya.net:80/announce	mail2.zelenaya.net
udp://open.demonii.si:1337/announce	open.demonii.si
http://pow7.com:80/announce	pow7.com
http://retracker.goodline.info:80/announce	retracker.goodline.info
udp://retracker.netbynet.ru:2710/announce	retracker.netbynet.ru
http://share.camoe.cn:8080/announce	share.camoe.cn
http://t.nyaatracker.com/announce	t.nyaatracker.com
https://t.quic.ws:443/announce	t.quic.ws
http://thetracker.org:80/announce	thetracker.org
udp://thetracker.org:80/announce	thetracker.org
http://torrentclub.tech:6969/announce	torrentclub.tech
udp://torrentclub.tech:6969/announce	torrentclub.tech
http://tracker.gbitt.info:80/announce	tracker.gbitt.info
udp://tracker.ktxp.com:7070/announce	tracker.ktxp.com
udp://tracker.open-internet.nl:6969/announce	tracker.open-internet.nl
udp://tracker.sktorrent.net:6969/announce	tracker.sktorrent.net
udp://tracker.skynetcloud.site:6969/announce	tracker.skynetcloud.site
udp://tracker.torrentbay.to:6969/announce	tracker.torrentbay.to
http://tracker.torrentyorg.pl:80/announce	tracker.torrentyorg.pl
udp://tracker.uw0.xyz:6969/announce	tracker.uw0.xyz
udp://tracker.vanitycore.co:6969/announce	tracker.vanitycore.co
udp://tracker4.itzmx.com:2710/announce	tracker4.itzmx.com
udp://tracker4.piratux.com:6969/announce	tracker4.piratux.com
http://www.36dm.com:2710/announce	www.36dm.com
udp://zer0day.ch:1337/announce	zer0day.ch
udp://zer0day.to:1337/announce	zer0day.to
udp://78.30.254.12:2710/announce	78.30.254.12
http://91.218.230.81:6969/announce	91.218.230.81
http://asnet.pw:2710/announce	asnet.pw
udp://bt.dy20188.com:80/announce	bt.dy20188.com
udp://bt2.54new.com:8080/announce	bt2.54new.com
udp://explodie.org:6969/announce	explodie.org
http://newtoncity.org:6969/announce	newtoncity.org
udp://open.stealth.si:80/announce	open.stealth.si
http://opentracker.acgnx.se:80/announce	opentracker.acgnx.se
https://opentracker.acgnx.se:443/announce	opentracker.acgnx.se
udp://retracker.baikal-telecom.net:2710/announce	retracker.baikal-telecom.net
http://retracker.krs-ix.ru:80/announce	retracker.krs-ix.ru
http://retracker.sevstar.net:2710/announce	retracker.sevstar.net
udp://retracker.sevstar.net:2710/announce	retracker.sevstar.net
http://t.nyaatracker.com:80/announce	t.nyaatracker.com
http://torrentsmd.eu:8080/announce	torrentsmd.eu
udp://tracker.aletorrenty.pl:2710/announce	tracker.aletorrenty.pl
udp://tracker.cyberia.is:6969/announce	tracker.cyberia.is
http://tracker.dutchtracking.com:80/announce	tracker.dutchtracking.com
http://tracker.kuroy.me:5944/announce	tracker.kuroy.me
http://tracker.lelux.fi:80/announce	tracker.lelux.fi
udp://tracker.pomf.se:80/announce	tracker.pomf.se
udp://tracker.swateam.org.uk:2710/announce	tracker.swateam.org.uk
udp://tracker3.itzmx.com:6961/announce	tracker3.itzmx.com
http://tracker3.torrentino.com/announce	tracker3.torrentino.com
http://vps02.net.orel.ru:80/announce	vps02.net.orel.ru
http://182.176.139.129:6969/announce	182.176.139.129
udp://182.176.139.129:6969/announce	182.176.139.129
udp://185.86.149.205:1337/announce	185.86.149.205
udp://195.123.209.40:80/announce	195.123.209.40
http://78.30.254.12:2710/announce	78.30.254.12
http://91.217.91.21:3218/announce	91.217.91.21
udp://91.218.230.81:6969/announce	91.218.230.81
http://93.92.64.5/announce	93.92.64.5
udp://explodie.org:6969	explodie.org
udp://newtoncity.org:6969/announce	newtoncity.org
udp://open.nyap2p.com:6969/announce	open.nyap2p.com
http://tracker.electro-torrent.pl:80/announce	tracker.electro-torrent.pl
udp://tracker.ktxp.com:6868/announce	tracker.ktxp.com
http://tracker.tvunderground.org.ru:3218/announce	tracker.tvunderground.org.ru
http://tracker.uw0.xyz:6969/announce	tracker.uw0.xyz
udp://valakas.rollo.dnsabr.com:2710/announce	valakas.rollo.dnsabr.com
udp://bt.aoeex.com:8000/announce	bt.aoeex.com
http://open.touki.ru/announce.php	open.touki.ru
udp://opentor.org:2710/announce	opentor.org
udp://opentracker.sktorrent.org:6969/announce	opentracker.sktorrent.org
udp://peerfect.org:6969/announce	peerfect.org
http://retracker.bashtel.ru:80/announce	retracker.bashtel.ru
http://retracker.telecom.by:80/announce	retracker.telecom.by
https://tracker.gbitt.info:443/announce	tracker.gbitt.info
http://tracker.ktxp.com:7070/announce	tracker.ktxp.com
udp://tracker.tvunderground.org.ru:3218/announce	tracker.tvunderground.org.ru
